,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
1,1,1,1.0,0.0,1,1,1,1,1,4,1,5,5,1
3,1,0,0.0,1.0,1,1,0,1,1,2,1,50,22,2
9,1,1,1.0,0.0,1,0,0,0,0,3,1,0,6,3
12,1,1,1.0,1.0,1,0,0,0,1,6,2,1,20,4
15,1,1,0.0,0.0,1,1,1,0,1,1,2,10,10,2
18,1,1,0.0,0.0,1,0,0,1,1,3,2,5,5,3
22,1,1,0.0,0.0,1,0,0,1,1,5,2,3,6,4
30,1,1,1.0,0.0,1,0,0,1,1,1,1,0,12,4
32,1,1,1.0,0.0,1,1,0,0,1,4,2,2,0,2
35,1,0,1.0,1.0,1,0,0,0,1,6,2,2,4,3
37,1,1,0.0,0.0,1,0,0,1,1,4,2,5,10,4
39,1,1,1.0,0.0,1,1,0,0,1,5,2,4,6,1
57,1,1,0.0,0.0,1,0,0,0,1,2,2,1,5,4
58,1,1,0.0,,1,0,0,0,0,4,1,0,12,4
62,1,1,1.0,0.0,1,1,1,0,0,4,2,10,10,2
65,1,0,0.0,0.0,1,0,0,0,0,3,1,1,0,4
73,1,1,0.0,0.0,1,0,0,1,1,5,2,1,1,4
75,1,1,,1.0,1,0,0,0,1,3,2,0,5,4
82,1,1,0.0,1.0,1,0,0,1,0,3,2,7,7,4
85,1,1,0.0,0.0,1,0,0,1,1,2,2,0,22,4
96,1,1,0.0,0.0,1,1,0,1,1,2,2,0,10,1
101,1,1,0.0,0.0,1,1,1,1,1,5,2,0,5,1
103,1,0,0.0,0.0,1,1,0,1,1,5,2,3,20,2
107,1,0,1.0,0.0,1,0,0,0,0,1,2,3,25,3
111,1,1,0.0,0.0,1,0,0,0,1,4,2,1,1,4
114,1,1,0.0,0.0,1,0,0,1,1,3,1,0,25,3
119,1,1,0.0,1.0,1,1,1,0,1,2,2,5,19,1
120,1,1,1.0,0.0,1,0,0,1,1,1,2,3,12,3
121,1,1,1.0,0.0,1,0,0,1,1,2,2,2,10,4
125,1,0,0.0,1.0,0,1,1,1,0,2,2,3,5,2
129,1,0,0.0,0.0,0,1,1,0,0,4,1,6,7,1
133,1,1,0.0,1.0,1,1,1,1,1,5,1,19,10,2
137,1,1,0.0,0.0,1,1,1,0,0,4,2,0,2,2
138,1,0,1.0,1.0,0,0,1,0,0,6,1,12,10,1
149,1,1,0.0,0.0,1,0,0,1,1,6,2,5,5,3
151,1,1,1.0,0.0,1,1,0,1,1,2,2,5,3,2
154,1,1,1.0,1.0,1,0,0,1,0,1,2,10,10,3
156,1,0,0.0,0.0,1,0,0,1,1,3,1,12,2,4
159,1,0,0.0,,1,0,0,0,1,6,2,1,6,4
172,1,1,,1.0,1,1,0,0,0,1,1,5,15,2
178,1,0,0.0,,1,0,0,0,0,2,1,0,2,4
185,1,1,0.0,0.0,0,0,0,1,1,1,2,1,12,4
187,1,1,0.0,0.0,1,0,0,0,0,2,2,4,10,3
190,1,1,0.0,0.0,0,0,0,0,1,3,2,5,9,3
191,1,1,0.0,1.0,0,0,0,0,0,1,2,12,7,4
195,1,1,1.0,1.0,1,0,0,0,0,4,2,2,10,4
200,1,0,0.0,0.0,1,0,0,0,0,2,1,1,10,3
204,1,1,0.0,,0,0,1,0,1,1,1,4,1,3
205,1,1,1.0,0.0,1,0,0,1,0,5,2,5,12,4
207,1,1,0.0,0.0,1,0,0,0,0,5,2,10,0,3
209,1,1,0.0,1.0,1,0,0,1,1,5,2,0,2,4
213,1,1,1.0,0.0,1,0,0,0,1,4,2,0,2,4
218,1,1,0.0,0.0,1,0,0,1,1,1,1,2,3,4
221,1,1,0.0,0.0,1,1,1,0,1,5,1,33,12,1
222,1,0,0.0,,1,1,1,1,1,4,1,4,7,1
227,1,0,0.0,1.0,1,1,1,0,1,4,1,5,4,3
229,1,1,1.0,0.0,1,0,0,0,1,2,2,2,2,4
230,1,1,0.0,0.0,1,0,0,0,1,1,2,0,4,4
231,1,0,0.0,0.0,1,1,1,0,0,5,2,3,6,1
235,1,1,0.0,0.0,1,0,0,0,1,1,1,4,2,4
237,1,1,1.0,0.0,1,1,0,1,0,5,2,3,10,2
238,1,1,1.0,0.0,1,1,0,0,1,2,2,5,5,3
247,1,1,0.0,0.0,1,1,0,1,1,5,2,2,13,2
258,1,1,1.0,0.0,1,1,0,1,0,1,1,2,5,3
262,1,0,1.0,0.0,0,1,1,1,0,1,1,2,3,2
265,1,1,0.0,0.0,1,0,0,0,0,2,2,5,15,4
267,1,0,0.0,1.0,1,1,1,0,0,5,1,2,10,2
274,1,1,0.0,0.0,1,0,0,0,0,3,2,2,2,4
275,1,1,0.0,0.0,1,0,1,0,1,3,2,7,5,3
280,1,1,1.0,0.0,1,1,0,0,0,2,2,7,3,1
282,1,1,0.0,0.0,1,1,1,1,1,1,2,4,15,1
284,1,0,0.0,0.0,1,0,0,0,1,2,2,4,3,3
287,1,1,0.0,0.0,1,0,1,1,1,1,1,2,4,3
305,1,1,1.0,1.0,1,0,0,0,1,1,2,15,10,4
313,1,1,0.0,0.0,1,0,0,0,1,4,2,10,2,4
315,1,0,,0.0,1,1,1,1,1,5,2,3,5,2
316,1,1,0.0,0.0,1,0,0,1,1,4,1,0,9,4
317,1,1,0.0,1.0,0,0,0,0,0,4,1,1,4,3
318,1,1,0.0,0.0,1,0,0,1,0,6,2,5,18,2
322,1,1,0.0,0.0,1,0,0,0,1,6,1,3,4,3
323,1,1,0.0,0.0,1,0,1,0,0,6,1,15,10,3
331,1,0,,0.0,1,0,0,1,0,4,2,0,4,4
334,1,1,1.0,0.0,1,1,0,0,1,5,2,0,4,2
348,1,1,0.0,0.0,1,0,1,0,0,1,2,15,6,4
350,1,1,0.0,0.0,0,1,0,1,0,1,1,8,0,4
352,1,0,0.0,1.0,1,0,0,0,0,1,2,5,16,3
358,1,1,0.0,0.0,1,1,0,0,1,6,1,1,10,1
364,1,1,,0.0,1,0,0,1,1,1,2,4,3,3
366,1,1,0.0,1.0,1,1,0,1,1,6,2,2,3,2
372,1,0,0.0,1.0,1,0,0,1,1,4,2,8,20,4
375,1,1,,1.0,0,1,0,0,1,3,2,3,10,2
376,1,0,0.0,0.0,1,0,1,0,1,5,1,20,0,4
384,1,1,0.0,1.0,1,1,0,1,1,6,2,2,0,2
385,1,1,0.0,1.0,1,0,0,1,1,1,2,6,4,4
394,1,1,0.0,0.0,1,0,0,1,1,4,2,0,0,4
395,1,1,0.0,0.0,1,0,0,1,1,3,2,4,7,4
399,1,1,1.0,0.0,1,0,0,0,1,4,2,2,2,4
400,1,1,1.0,0.0,1,1,0,0,1,2,2,8,18,2
410,1,1,1.0,0.0,1,0,1,0,1,1,2,4,8,4
413,1,1,1.0,1.0,1,0,0,0,1,5,1,0,8,4
414,1,1,0.0,0.0,1,1,1,1,1,6,1,12,3,1
416,1,1,1.0,0.0,1,1,1,1,0,1,1,6,3,1
418,1,1,0.0,0.0,1,0,0,1,1,2,2,0,5,4
419,1,1,0.0,0.0,0,0,0,0,0,3,1,1,3,3
420,1,1,0.0,0.0,1,0,0,0,1,2,2,10,10,4
427,1,1,0.0,1.0,1,0,1,0,1,1,1,0,12,2
433,1,1,0.0,0.0,1,0,0,1,1,6,1,4,5,3
438,1,0,0.0,1.0,1,0,0,0,1,6,1,2,4,3
444,1,1,1.0,1.0,1,0,1,1,1,4,2,3,6,3
445,1,1,1.0,0.0,1,1,1,0,1,3,1,17,8,2
448,1,1,0.0,0.0,1,0,0,0,1,3,2,4,8,3
450,1,0,1.0,0.0,1,1,1,1,0,6,2,5,10,1
452,1,1,0.0,0.0,1,0,0,1,1,1,2,1,10,4
453,1,0,0.0,1.0,1,0,0,1,0,1,1,5,6,2
459,1,1,1.0,0.0,1,1,0,0,1,2,1,2,6,2
460,1,1,,0.0,1,0,0,1,0,4,2,2,6,4
461,1,1,0.0,0.0,1,1,0,0,0,4,2,0,7,2
464,1,1,0.0,0.0,1,1,0,1,1,3,2,3,6,2
466,1,1,1.0,1.0,1,0,0,1,1,5,2,2,8,4
467,1,0,1.0,0.0,1,0,0,1,0,6,2,3,20,4
468,1,0,0.0,0.0,1,0,0,1,1,1,2,4,10,3
470,1,1,1.0,0.0,1,1,1,1,1,2,2,5,15,2
474,1,1,,,1,0,1,0,1,1,1,1,2,3
480,1,0,1.0,0.0,1,0,0,1,0,1,2,0,2,3
483,1,0,0.0,0.0,1,0,0,0,1,2,2,2,30,3
485,1,1,1.0,0.0,1,1,0,0,1,3,1,3,4,2
488,1,1,1.0,0.0,1,0,0,0,1,6,2,2,10,4
489,1,1,0.0,1.0,1,0,0,0,1,4,1,5,10,4
495,1,0,0.0,0.0,1,0,0,0,0,5,2,2,22,3
497,1,1,1.0,1.0,0,0,0,0,1,6,2,1,10,4
498,1,1,1.0,0.0,0,0,0,1,1,6,2,6,7,4
500,1,1,1.0,0.0,1,0,0,1,1,1,1,0,2,4
508,1,1,0.0,1.0,0,1,0,1,1,5,1,3,4,3
510,1,1,1.0,0.0,1,0,0,1,1,5,2,0,4,4
514,1,1,1.0,0.0,1,0,0,0,0,6,2,5,4,3
518,1,1,0.0,0.0,1,0,0,1,1,2,1,0,6,4
523,1,1,0.0,0.0,1,0,0,1,1,5,1,5,15,3
524,1,1,0.0,0.0,1,0,0,1,0,1,2,5,10,4
526,1,0,1.0,0.0,1,1,1,0,0,3,1,5,10,1
529,1,1,0.0,0.0,1,1,0,1,0,4,1,10,10,1
534,1,0,0.0,0.0,1,1,0,1,0,3,1,5,14,2
538,1,1,0.0,1.0,1,1,1,1,0,2,2,9,3,2
548,1,1,0.0,0.0,1,1,1,0,0,1,2,5,12,1
550,1,1,0.0,0.0,1,0,0,0,1,2,2,2,8,4
551,1,1,0.0,0.0,1,0,0,0,0,5,2,0,7,4
558,1,0,1.0,1.0,1,1,1,0,1,6,2,4,12,2
560,1,1,1.0,0.0,1,1,1,0,0,2,2,4,5,2
563,1,1,0.0,0.0,1,0,0,0,1,5,2,1,15,4
564,1,1,0.0,0.0,1,1,0,0,1,3,2,2,3,2
566,1,1,0.0,1.0,1,0,0,0,0,5,2,3,8,4
570,1,1,,0.0,1,0,0,0,1,4,1,2,2,4
573,1,0,1.0,1.0,0,0,0,0,1,5,1,10,5,4
574,1,1,1.0,1.0,0,0,0,1,1,2,1,11,3,3
576,1,1,,0.0,1,1,1,1,1,3,2,25,12,1
596,1,0,,,1,0,1,1,1,4,1,2,5,2
598,1,1,1.0,1.0,0,1,1,1,0,4,2,3,5,2
599,1,1,1.0,0.0,1,0,0,1,1,2,2,8,18,3
600,1,1,0.0,0.0,1,0,1,1,0,2,1,8,5,4
601,1,1,,,1,1,1,0,1,2,1,3,2,1
603,1,1,0.0,0.0,1,0,0,0,1,5,2,4,5,4
605,1,1,0.0,1.0,0,1,1,0,1,2,1,2,4,1
606,1,1,0.0,0.0,1,0,0,1,1,2,1,5,10,4
608,1,1,0.0,0.0,0,1,1,0,0,3,1,15,10,2
612,1,1,1.0,1.0,1,0,0,1,1,5,2,0,1,3
620,1,1,0.0,0.0,1,0,0,1,0,1,1,0,8,4
623,1,1,,0.0,1,1,1,0,1,4,2,5,8,1
630,1,0,0.0,1.0,1,0,1,1,0,4,1,0,15,3
634,1,1,0.0,0.0,1,1,1,0,1,3,2,5,8,2
652,1,0,0.0,0.0,1,0,0,0,0,3,2,6,3,3
659,1,0,0.0,1.0,0,0,0,1,1,2,2,4,15,4
666,1,0,0.0,,1,0,1,0,1,2,2,7,4,3
673,1,1,0.0,0.0,1,1,0,1,0,6,2,0,15,2
674,1,1,1.0,0.0,1,1,1,0,0,6,2,3,8,2
680,1,1,0.0,1.0,1,1,1,1,1,4,2,0,10,2
681,1,1,,0.0,1,0,0,0,1,2,2,2,1,3
694,1,1,1.0,0.0,1,0,1,0,0,2,2,3,5,3
696,1,0,0.0,0.0,1,0,0,0,1,5,2,0,0,4
705,1,1,0.0,1.0,1,0,0,0,0,5,1,5,1,3
708,1,1,0.0,0.0,1,1,1,0,1,5,1,0,0,1
712,1,1,1.0,0.0,1,1,1,1,0,5,2,4,12,2
714,1,1,0.0,0.0,0,1,1,1,1,3,2,18,3,1
715,1,0,0.0,0.0,1,1,1,1,0,4,2,20,0,1
717,1,0,1.0,0.0,1,0,0,0,1,5,2,2,30,4
718,1,1,0.0,0.0,1,1,0,0,0,1,2,5,15,3
720,1,0,,0.0,1,0,0,1,0,3,1,0,2,4
727,1,0,0.0,0.0,1,0,0,0,0,4,2,1,3,3
729,1,1,1.0,0.0,1,1,1,1,0,1,2,2,4,1
733,1,1,1.0,1.0,0,0,0,1,1,5,2,5,10,3
734,1,1,0.0,0.0,1,0,1,1,0,2,2,25,15,3
746,1,0,1.0,1.0,1,1,1,0,0,3,1,4,4,1
749,1,1,0.0,0.0,1,0,0,0,0,2,1,1,6,3
752,1,1,,1.0,0,0,1,1,1,6,1,20,4,2
753,1,0,,1.0,1,0,1,0,1,3,1,20,20,3
758,1,1,0.0,0.0,1,1,0,0,1,3,2,4,6,3
761,1,0,0.0,0.0,1,0,0,1,1,3,2,1,12,4
767,1,1,0.0,1.0,1,0,1,1,1,3,2,4,4,3
771,1,0,0.0,1.0,1,0,0,1,1,2,1,10,5,4
774,1,1,0.0,1.0,1,0,0,1,0,4,2,3,2,4
779,1,1,0.0,0.0,1,1,0,1,1,4,2,3,5,3
780,1,1,0.0,0.0,1,0,0,1,1,6,2,1,4,3
783,1,1,1.0,0.0,1,0,0,0,1,2,2,4,12,4
786,1,0,0.0,0.0,1,1,1,0,0,2,1,1,0,1
790,1,1,0.0,0.0,1,0,0,0,1,2,2,2,7,4
797,1,1,0.0,0.0,1,0,0,0,1,6,1,0,6,4
800,1,1,,0.0,0,1,0,0,0,5,2,0,6,2
803,1,1,0.0,1.0,1,0,0,1,1,4,2,0,10,4
804,1,1,,0.0,1,0,1,0,1,1,1,6,20,2
809,1,1,0.0,0.0,1,1,0,0,0,1,1,12,8,3
816,1,1,1.0,1.0,0,1,0,0,0,1,2,5,5,2
817,1,1,0.0,0.0,1,1,1,0,0,2,2,3,3,1
824,1,1,1.0,0.0,1,0,0,0,1,6,2,30,4,3
828,1,1,0.0,0.0,0,0,0,1,1,5,1,0,12,4
830,1,1,1.0,1.0,1,0,0,0,0,1,2,12,10,2
832,1,1,0.0,0.0,1,0,0,1,1,5,2,0,6,3
833,1,1,0.0,0.0,1,0,0,1,1,2,1,1,10,3
836,1,0,1.0,1.0,1,0,0,0,1,6,2,2,7,4
839,1,1,1.0,0.0,1,1,0,0,0,4,1,2,10,1
844,1,1,,0.0,1,1,1,0,1,4,2,16,9,2
845,1,1,1.0,0.0,1,1,1,0,0,1,2,15,15,1
846,1,1,0.0,0.0,1,0,0,0,1,1,2,0,8,4
860,1,1,1.0,0.0,0,0,0,0,1,2,1,2,15,3
861,1,1,0.0,1.0,1,0,0,1,1,5,2,0,3,4
862,1,1,1.0,1.0,1,1,0,1,1,6,1,9,25,2
865,1,1,0.0,0.0,1,0,0,1,1,4,2,3,20,4
866,1,1,1.0,0.0,1,1,0,1,1,4,2,12,20,2
868,1,1,1.0,0.0,1,1,1,0,1,2,2,20,2,2
875,1,1,1.0,0.0,1,1,0,1,0,3,2,15,5,2
879,1,0,0.0,1.0,1,0,0,1,1,5,2,1,7,4
886,1,1,0.0,0.0,1,0,0,1,1,4,1,18,10,3
887,1,1,0.0,1.0,0,1,0,1,1,6,1,2,7,2
888,1,1,0.0,1.0,1,1,1,0,0,3,2,6,12,2
889,1,0,1.0,0.0,1,0,0,1,1,6,2,2,20,3
891,1,1,0.0,0.0,1,0,1,0,0,2,1,10,8,3
894,1,1,0.0,0.0,1,1,0,0,1,6,1,3,3,1
906,1,1,0.0,0.0,1,1,1,0,0,2,1,3,0,1
907,1,0,1.0,0.0,1,0,0,0,1,1,2,0,3,4
908,1,1,1.0,0.0,1,1,0,1,1,3,2,4,6,3
910,1,1,1.0,0.0,0,1,1,0,1,6,1,11,8,2
911,1,1,1.0,,1,1,1,1,1,2,1,2,0,1
912,1,1,0.0,0.0,1,1,0,1,1,2,2,2,15,2
913,1,1,1.0,0.0,1,1,1,0,1,5,2,15,2,2
914,1,1,0.0,0.0,1,0,0,0,0,1,2,1,7,3
922,1,0,1.0,0.0,0,0,1,0,1,1,1,3,5,3
924,1,1,0.0,1.0,1,0,0,1,1,4,2,5,10,4
925,1,1,0.0,1.0,1,1,1,1,1,4,2,1,6,2
934,1,1,1.0,1.0,1,0,0,1,0,5,2,3,12,4
935,1,1,0.0,1.0,1,0,0,0,1,4,2,5,9,4
943,1,1,0.0,0.0,1,1,1,0,0,3,2,1,2,2
944,1,1,1.0,0.0,1,0,0,1,0,4,1,3,3,3
946,1,0,0.0,0.0,1,0,0,1,0,1,2,3,8,3
947,1,1,0.0,0.0,1,0,0,1,0,2,1,12,7,3
954,1,1,1.0,1.0,1,0,0,0,1,6,2,4,10,4
961,1,1,0.0,0.0,1,0,0,1,1,2,2,1,8,4
962,1,1,0.0,0.0,1,1,0,0,1,4,2,0,0,1
965,1,1,0.0,1.0,1,0,0,0,1,1,2,0,3,4
970,1,1,0.0,0.0,1,0,0,1,0,1,2,5,8,3
971,1,0,0.0,0.0,1,0,0,0,0,4,2,2,3,4
974,1,1,1.0,0.0,1,0,0,1,0,2,2,4,8,4
980,1,0,0.0,0.0,1,0,0,1,1,4,1,1,0,4
981,1,1,0.0,,1,0,0,1,1,2,2,0,5,4
984,1,0,0.0,1.0,1,1,1,1,1,4,1,20,10,2
985,1,0,1.0,0.0,1,0,0,1,0,1,1,0,10,4
988,1,0,0.0,0.0,1,1,1,1,1,3,2,6,15,1
989,1,1,1.0,1.0,1,1,1,1,1,2,2,8,5,1
998,1,0,0.0,0.0,0,0,1,1,1,1,1,3,0,3
1002,1,1,0.0,0.0,1,0,0,0,0,2,1,12,0,4
1005,1,1,0.0,0.0,1,0,1,1,0,1,2,10,3,2
1007,1,1,1.0,0.0,1,0,0,1,0,5,2,3,8,4
1009,1,1,0.0,0.0,1,0,0,1,1,6,2,5,13,3
1011,1,1,1.0,0.0,0,1,0,1,1,6,2,14,10,3
1013,1,1,0.0,1.0,1,0,0,0,0,6,2,0,11,4
1015,1,0,,0.0,1,0,1,0,0,3,1,5,4,4
1016,1,0,0.0,1.0,1,0,0,1,1,3,1,0,2,4
1018,1,1,0.0,0.0,1,0,0,0,0,4,2,0,6,4
1026,1,1,0.0,0.0,1,0,1,0,0,4,1,4,10,3
1032,1,1,1.0,0.0,1,0,0,0,0,1,2,2,5,4
1034,1,1,1.0,0.0,1,1,0,0,1,6,1,6,3,2
1038,1,1,0.0,0.0,1,1,1,0,0,1,2,10,5,2
1040,1,1,0.0,1.0,1,0,1,1,1,3,1,20,0,3
1042,1,0,0.0,1.0,1,1,1,0,0,3,2,3,3,2
1046,1,1,1.0,0.0,1,1,1,1,1,3,2,13,25,1
1050,1,1,0.0,0.0,1,0,1,0,1,2,2,5,8,1
1051,1,1,0.0,0.0,1,0,0,1,1,2,2,3,16,4
1056,1,1,0.0,0.0,0,1,1,1,1,3,2,2,2,1
1058,1,1,1.0,0.0,1,0,0,0,0,1,1,10,8,3
1062,1,1,1.0,0.0,1,1,0,0,1,3,2,2,10,2
1075,1,1,0.0,0.0,1,0,0,1,0,3,1,1,7,4
1077,1,0,0.0,0.0,1,1,0,1,1,2,2,0,10,3
1081,1,1,1.0,0.0,1,1,1,0,0,2,2,15,7,2
1082,1,1,1.0,0.0,1,1,0,0,0,1,2,5,20,1
1088,1,1,0.0,0.0,0,1,0,0,0,1,1,0,0,3
1089,1,1,0.0,0.0,1,1,0,0,1,5,2,5,2,3
1095,1,1,0.0,1.0,1,0,0,1,1,5,1,1,9,3
1097,1,0,0.0,1.0,1,0,0,1,1,6,2,8,15,3
1102,1,1,1.0,0.0,1,0,0,1,0,3,2,10,1,4
1106,1,0,0.0,0.0,1,0,0,0,1,1,2,5,10,4
1108,1,1,1.0,0.0,1,1,0,1,1,2,2,3,5,2
1111,1,1,1.0,0.0,1,0,0,0,1,1,1,10,15,3
1128,1,0,,1.0,0,1,0,0,1,4,1,20,28,2
1131,1,1,0.0,0.0,1,1,1,1,1,3,2,10,4,1
1135,1,1,,0.0,1,0,0,0,1,1,1,4,23,3
1141,1,1,1.0,0.0,1,0,0,0,0,2,1,8,2,4
1145,1,0,0.0,0.0,1,1,1,0,0,6,1,5,9,2
1147,1,1,0.0,0.0,1,1,1,1,0,6,2,4,12,1
1148,1,1,1.0,1.0,1,1,0,1,1,5,2,2,20,3
1149,1,1,1.0,1.0,0,1,1,0,0,5,1,5,5,2
1151,1,1,0.0,,0,1,1,0,0,1,1,20,2,1
1152,1,0,0.0,0.0,1,1,1,0,1,4,1,16,5,1
1164,1,1,0.0,0.0,1,1,1,1,1,2,1,4,5,2
1167,1,1,0.0,1.0,0,1,1,0,1,1,2,9,10,2
1170,1,1,1.0,0.0,1,0,0,0,0,1,2,0,15,4
1176,1,0,0.0,0.0,1,0,0,1,1,5,2,5,3,3
1178,1,1,1.0,0.0,1,1,0,0,0,5,1,82,8,1
1179,1,1,0.0,0.0,1,1,1,1,1,3,1,10,15,1
1191,1,0,0.0,1.0,1,0,0,1,1,1,1,3,20,3
1196,1,1,0.0,1.0,1,0,0,1,1,6,1,0,16,4
1197,1,1,1.0,0.0,1,0,0,0,0,4,1,4,10,3
1198,1,1,1.0,1.0,1,0,0,0,0,6,1,5,15,4
1210,1,1,1.0,1.0,0,0,0,0,0,4,1,0,5,4
1216,1,1,0.0,0.0,1,0,0,0,1,1,1,3,0,3
1218,1,1,0.0,0.0,1,1,0,1,0,6,2,1,2,1
1236,1,1,,0.0,1,1,1,0,1,6,1,10,2,2
1237,1,1,0.0,0.0,1,0,0,0,1,2,2,8,18,4
1240,1,1,0.0,0.0,1,0,0,1,1,1,2,0,29,4
1243,1,1,0.0,0.0,1,0,1,1,1,3,2,6,3,3
1245,1,1,0.0,0.0,1,0,0,0,1,1,2,0,7,4
1249,1,1,1.0,0.0,1,0,0,0,1,4,2,2,7,4
